	2,68    	 0,18    	 class-a
	2,34    	 7,08    	 class-c
	4,8    	 4,57    	 class-b
	3,83    	 2,29    	 class-b
	1,25    	 1,14    	 class-a
	-0,07    	 4,86    	 class-c
	4,56    	 3,5    	 class-b
	0,62    	 3,57    	 class-c
	2,8    	 0,54    	 class-a
	2,06    	 5,1    	 class-c
	2,77    	 2,42    	 class-a
	2,59    	 3,81    	 class-c
	3,27    	 5,92    	 class-b
	3,55    	 4,19    	 class-c
	5,24    	 3,45    	 class-b
	2,61    	 3,0    	 class-a
	0,21    	 3,84    	 class-c
	0,79    	 4,85    	 class-c
	4,28    	 4,49    	 class-c
	4,17    	 2,84    	 class-b
	1,33    	 1,0    	 class-a
	2,13    	 6,28    	 class-c
	2,79    	 2,13    	 class-a
	6,24    	 3,84    	 class-b
	2,82    	 4,0    	 class-b
	1,44    	 2,6    	 class-a
	1,63    	 2,59    	 class-a
	5,57    	 2,23    	 class-b
	2,16    	 4,05    	 class-b
	2,67    	 4,87    	 class-c
	1,14    	 4,96    	 class-c
	1,92    	 2,9    	 class-a
	2,78    	 2,57    	 class-a
	5,84    	 3,07    	 class-b
	4,12    	 4,09    	 class-b
	1,11    	 5,13    	 class-c
	1,74    	 2,14    	 class-a
	1,11    	 0,78    	 class-a
	4,97    	 3,46    	 class-b
	1,29    	 2,2    	 class-b
	2,88    	 2,15    	 class-b
	2,7    	 4,79    	 class-a
	2,92    	 3,71    	 class-a
	2,64    	 0,26    	 class-a
	3,53    	 5,23    	 class-c
	3,32    	 5,21    	 class-b
	-0,53    	 6,9    	 class-c
	2,14    	 2,98    	 class-a
	1,83    	 1,79    	 class-a
	1,85    	 0,2    	 class-a
	2,48    	 5,72    	 class-c
	1,76    	 2,72    	 class-c
	3,76    	 2,05    	 class-b
	2,28    	 3,4    	 class-a
	2,4    	 1,68    	 class-a
	3,62    	 2,01    	 class-b
	2,96    	 3,06    	 class-b
	2,7    	 3,93    	 class-c
	3,14    	 0,27    	 class-a
	2,28    	 3,77    	 class-c
	0,65    	 4,35    	 class-b
	4,69    	 3,97    	 class-c
	0,81    	 5,12    	 class-c
	3,35    	 3,89    	 class-b
	4,93    	 3,48    	 class-b
	3,49    	 5,06    	 class-c
	1,66    	 4,74    	 class-c
	1,62    	 2,87    	 class-a
	3,02    	 0,8    	 class-a
	1,62    	 3,03    	 class-b
	2,94    	 0,66    	 class-a
	3,05    	 5,23    	 class-c
	0,9    	 3,05    	 class-a
	2,45    	 2,3    	 class-a
	2,66    	 4,86    	 class-b
	2,0    	 3,73    	 class-b
	-0,23    	 5,33    	 class-c
	4,69    	 4,21    	 class-b
	1,17    	 4,57    	 class-c
	3,56    	 2,87    	 class-b
	2,75    	 3,5    	 class-b
	1,9    	 1,65    	 class-a
	2,74    	 1,27    	 class-a
	4,58    	 3,96    	 class-b
	0,29    	 1,36    	 class-a
	2,3    	 3,57    	 class-a
	3,81    	 3,7    	 class-b
	1,8    	 6,59    	 class-c
	5,8    	 3,46    	 class-c
	5,14    	 1,94    	 class-b
